종목코드,종목명,시장구분,시가총액,PER,20D_Avg_Trading_Val,OPM(%),ROA(%),ROE(%),PBR,F_Score,기준보고서,OPM_trend,ROA_trend,ROE_trend,PBR_trend,PER_trend,연도_5y,매출액_5y,영업이익_5y,경상이익_5y,경상이익률_5y,CFO_5y,CFI_5y,CFF_5y,FCF_5y,부채비율_5y,당좌비율_5y,이자보상배율_5y,유보율_5y,매출성장률_5y,매출채권회전율_5y,재고자산회전율_5y,업종매칭_ECOS코드,업종매칭명,매출채권회전율_업계평균,재고자산회전율_업계평균,ROIC(%),매출액_최근분기YoY(%),영업이익_최근분기YoY(%),연구개발비율(%),R&D최소기준(%)
030520,한컴,KOSDAQ,421936532800,10.73,2022765234.0,9.51,4.53,6.58,0.82,8,2026-08-14,"[12.6, 13.26, 11.14, 9.51]","[-4.35, 2.05, 3.37, 4.53]","[-5.84, 2.88, 4.95, 6.58]","[0.73, 1.05, 1.12, 0.82]","[36.54, 22.58, 12.42]","[2021, 2022, 2023, 2024, 2025]","[391669684818, 242008402693, 271099772341, 304773304445, 326744735334]","[43289598197, 25023371169, 34150052679, 40422695177, 36397225985]","[20015191456, -14827191750, -20845379031, 24534333957, 28009580778]","[5.11, -6.13, -7.69, 8.05, 8.57]","[54207664474, 23763219174, 47127803891, 55971772307, 69730080098]","[-34197724891, -60941752224, -46488301549, -36355510372, -26239508572]","[50534311059, -18334240548, -26820423298, 5902386927, -18702569887]","[20009939583, -37178533050, 639502342, 19616261935, 43490571526]","[54.02, 44.48, 34.26, 40.41, 46.74]","[149.13, 166.13, 227.16, 194.89, 182.14]","[39.55, 18.58, 34.83, 32.46, 18.03]","[2233.19, 2587.29, 2539.89, 2615.65, 2797.84]","[-2.42, -38.21, 12.02, 12.42, 7.21]","[7.64, 5.59, 6.86, 7.72, 6.98]","[3.46, 1.91, 2.35, 2.35, 2.88]",J582,J582 소프트웨어 개발 및 공급업,6.98,45.66,6.08,38.81,-12.6,16.5,10.0
376300,디어유,KOSDAQ,421831474620,11.61,1596616962.0,40.46,6.39,8.08,1.93,5,2026-08-14,"[37.82, 33.95, 37.44, 40.46]","[13.74, 0.0, 0.0, 6.39]","[15.45, 0.0, 0.0, 8.08]","[4.5, 4.37, 4.54, 1.93]","[29.1, 23.86]","[2021, 2022, 2023, 2024, 2025]","[40000767156, 49193860961, 75691871495, 74863520691, 83834878201]","[13240793052, 16285613589, 28625832888, 25413420152, 31391662643]","[-24380307896, 16907275658, 32654926251, 31149235311, 24315447166]","[-60.95, 34.37, 43.14, 41.61, 29.0]","[8080002432, 21004053364, 12780586219, 23735067238, 35476240470]","[-73088747904, 29445373098, -40537980586, 2545259599, 15137407313]","[89293519110, 7708008261, 2585268204, -518912805, -5867140708]","[-65008745472, 50449426462, -27757394367, 26280326837, 50613647783]","[8.08, 8.01, 12.45, 12.39, 15.79]","[1145.59, 1220.85, 874.18, 815.9, 695.33]","[2058.33, 1401.52, 447.26, 132.78, 159.14]","[849.81, 1348.38, 1367.25, 1448.0, 1561.93]","[206.57, 22.98, 53.86, -1.09, 11.98]","[16.4, 14.21, 14.34, 11.66, 11.57]","[0.0, 0.0, 0.0, 0.0, 0.0]",J582,J582 소프트웨어 개발 및 공급업,6.98,45.66,31.84,15.7,26.39,,10.0
272290,이녹스첨단소재,KOSDAQ,411709560850,6.86,1935808657.0,14.48,4.75,9.93,0.74,4,2026-08-14,"[10.89, 20.53, 18.63, 14.48]","[5.73, 8.48, 5.14, 4.75]","[8.07, 14.95, 10.71, 9.93]","[1.57, 0.86, 0.87, 0.74]","[19.47, 5.72, 8.11, 7.4]","[2021, 2022, 2023, 2024, 2025]","[487292463999, 489352939422, 387002612208, 422809289354, 439633940622]","[96726171159, 97114300759, 42162013389, 86804439404, 81921389355]","[100142589246, 101870110991, 44130414936, 92227609319, 75674592993]","[20.55, 20.82, 11.4, 21.81, 17.21]","[60798717453, 92494702516, 88165276834, 106691980825, 68300855094]","[-22996481289, -42783778905, -145631541450, -198772274260, -236638686378]","[13984697231, -43513914515, 78215200006, 143984364004, 190445891671]","[37802236164, 49710923611, -57466264616, -92080293435, -168337831284]","[46.02, 22.0, 40.84, 76.29, 108.29]","[189.71, 243.55, 199.84, 171.11, 179.04]","[56.32, 46.35, 13.78, 9.53, 4.79]","[1906.92, 2658.36, 2874.16, 4455.35, 3765.2]","[44.92, 0.42, -20.92, 9.25, 3.98]","[6.08, 5.76, 5.49, 5.62, 6.07]","[7.34, 4.85, 4.49, 6.47, 4.98]",C262,"C261,2 반도체 및 전자부품",6.7,8.89,11.36,-2.47,-53.02,4.48,10.0
078340,컴투스,KOSDAQ,411709207650,34.32,5606267275.0,1.84,-0.42,-0.62,0.4,6,2026-08-14,"[-4.49, 0.88, 0.38, 1.84]","[2.45, -9.23, 0.58, -0.42]","[3.4, -14.48, 0.88, -0.62]","[0.48, 0.54, 0.33, 0.4]","[14.15, 37.51, 0]","[2021, 2022, 2023, 2024, 2025]","[558680670101, 677312281269, 739638721494, 693943029291, 696423825349]","[52622753512, -15118046908, -33190425674, 6128463563, 2633918673]","[145258182734, 3853779425, 43015861467, -159503666942, 37537890183]","[26.0, 0.57, 5.82, -22.99, 5.39]","[90152879116, -10964377796, -9228556762, 15528039642, -39213012905]","[-52173375089, -121816673246, 88516010372, -39960842337, 6822862861]","[156260179898, 53065531314, -109096221481, 28936051565, -10893713125]","[37979504027, -132781051042, 79287453610, -24432802695, -32390150044]","[31.56, 43.54, 38.75, 56.78, 51.12]","[364.45, 183.52, 127.09, 99.21, 82.85]","[21.16, -2.56, -4.27, 0.67, 0.26]","[14692.45, 15018.77, 15033.05, 13193.97, 13632.31]","[9.76, 21.23, 9.2, -6.18, 0.36]","[0.0, 0.0, 0.0, 0.0, 0.0]","[51.52, 0.0, 0.0, 0.0, 0.0]",J582,J582 소프트웨어 개발 및 공급업,6.98,45.66,0.81,-15.04,420.68,,10.0
080580,오킨스전자,KOSDAQ,410429984300,23.73,7686333118.0,16.72,12.89,23.14,5.67,6,2026-08-14,"[0.66, 2.86, 11.75, 16.72]","[1.15, -6.21, 8.14, 12.89]","[2.92, -19.6, 15.36, 23.14]","[5.28, 3.39, 4.28, 5.67]","[180.68, 27.88, 24.51]","[2021, 2022, 2023, 2024, 2025]","[59303792764, 64176500340, 56850074934, 66679677491, 94373992165]","[2579711532, 2609217138, 374277956, 1904476100, 11086424250]","[1686083223, 1141223413, 981553585, -4365183511, 7455643532]","[2.84, 1.78, 1.73, -6.55, 7.9]","[10124978263, 7618127096, 7167431018, 10614439145, 16862322274]","[-8587573900, -13611798568, -12371092678, -15036716960, -11884848786]","[11325991596, 1354737774, 5402422594, -1148105998, -6238105803]","[1537404363, -5993671472, -5203661660, -4422277815, 4977473488]","[116.94, 150.38, 154.43, 215.74, 88.77]","[116.38, 63.56, 106.61, 49.86, 81.82]","[3.41, 2.28, 0.22, 1.33, 7.57]","[275.93, 294.33, 303.25, 236.41, 449.74]","[31.44, 8.22, -11.42, 17.29, 41.53]","[7.69, 7.18, 5.55, 5.55, 6.07]","[5.87, 5.56, 4.45, 5.02, 6.07]",C262,"C261,2 반도체 및 전자부품",6.7,8.89,25.08,29.55,163.39,,10.0
204620,글로벌텍스프리,KOSDAQ,407643314000,11.09,5466722861.0,18.14,17.75,22.06,2.44,6,2026-08-14,"[15.83, 19.92, 18.81, 18.14]","[-4.79, 3.58, 19.26, 17.75]","[-7.36, 4.87, 25.35, 22.06]","[2.79, 1.86, 2.25, 2.44]","[38.29, 8.88, 11.07]","[2021, 2022, 2023, 2024, 2025]","[38144495124, 41967340578, 93373547015, 108359046176, 154056520360]","[-13769326935, -3568066672, 14776893088, 21584089077, 28985101394]","[-25184346861, -15050839852, -5164875090, 20299176682, 28634924288]","[-66.02, -35.86, -5.53, 18.73, 18.59]","[-8422772730, -10038866306, -8091471639, 14514325416, 40486752594]","[-26876156327, 19198473540, -18837067098, 6455476848, -14665840273]","[29554072104, 11446432129, 17110259977, 4602903547, 3555764209]","[-35298929057, 9159607234, -26928538737, 20969802264, 25820912321]","[48.76, 37.64, 53.72, 35.96, 31.6]","[207.46, 303.12, 232.82, 326.15, 431.81]","[-29.77, -6.82, 42.88, 59.07, 64.82]","[273.74, 256.41, 249.82, 386.68, 323.1]","[274.55, 10.02, 122.49, 16.05, 42.17]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",ZZZ00,전산업,7.17,5.63,135.26,17.2,8.17,,
092870,엑시콘,KOSDAQ,405227246850,19.52,7819389682.5,11.08,8.28,10.23,2.0,6,2026-08-14,"[1.78, -50.29, 0.12, 11.08]","[2.94, -0.71, 3.99, 8.28]","[3.35, -0.77, 4.58, 10.23]","[1.54, 0.78, 1.01, 2.0]","[46.0, 22.01, 19.51]","[2021, 2022, 2023, 2024, 2025]","[66186071338, 91157419461, 82296331600, 31611346967, 66026746277]","[6280543174, 10251794199, 1464663636, -15897333370, 80123746]","[39908555324, 16216971289, 1549451115, -8567597739, 3932713458]","[60.3, 17.79, 1.88, -27.1, 5.96]","[-6849817458, -2544967007, 21192317741, -14879746767, -4034653160]","[-4215182758, 634133879, 5999017491, -36593739039, 26621286307]","[2498354798, -3669020422, -2556301110, 30573367503, 14578387797]","[-11065000216, -1910833128, 27191335232, -51473485806, 22586633147]","[15.8, 17.15, 13.72, 7.9, 14.72]","[212.43, 177.39, 216.24, 447.46, 210.02]","[45.69, 43.06, 5.1, -59.58, 0.29]","[2424.99, 2666.7, 2731.0, 2718.73, 2868.28]","[-1.83, 37.73, -9.72, -61.59, 108.87]","[4.74, 4.92, 8.12, 4.96, 7.98]","[4.17, 2.58, 1.85, 1.24, 2.02]",C292,C292 특수 목적용 기계,4.79,5.0,5.06,315.84,-243.57,22.74,5.0
104830,원익머트리얼즈,KOSDAQ,400934400000,7.39,2164542910.0,17.35,7.23,8.88,0.73,6,2026-08-14,"[6.3, 16.71, 17.52, 17.35]","[2.78, 5.45, 7.64, 7.23]","[3.09, 6.61, 9.27, 8.88]","[0.85, 0.45, 0.74, 0.73]","[27.37, 6.83, 8.0, 8.23]","[2021, 2022, 2023, 2024, 2025]","[310729301325, 581258025083, 391674584740, 310715204992, 322467412745]","[50511405163, 88797905994, 24689972889, 51919490369, 56497808201]","[65187342764, 76694813371, 18447754414, 43805481682, 59994020709]","[20.98, 13.19, 4.71, 14.1, 18.6]","[59024055942, -9826752721, 133883947577, 98948085041, 77715191634]","[-57106262026, -26648175458, -72068713894, -142408696138, -70961280118]","[-8400582400, 46508390577, -65257750592, 25425946264, 10569237042]","[1917793916, -36474928179, 61815233683, -43460611097, 6753911516]","[18.01, 30.91, 11.15, 21.23, 21.37]","[142.59, 91.77, 195.07, 158.94, 157.29]","[89.02, 86.82, 18.98, 39.02, 32.4]","[6071.25, 6919.17, 6966.48, 7428.64, 8133.0]","[12.28, 87.06, -32.62, -20.67, 3.78]","[7.46, 9.63, 7.25, 9.31, 12.13]","[5.92, 5.4, 3.87, 4.85, 5.4]",C201,C201 기초화학물질,8.22,8.18,8.75,23.07,28.93,,5.0
241770,메카로,KOSDAQ,392416640000,26.12,514693910.0,17.06,0.0,0.0,1.84,5,2026-08-14,"[-20.77, 6.55, 16.23, 17.06]","[-1.2, 0.0, 0.0, 0.0]","[-1.27, 0.0, 0.0, 0.0]","[0.49, 0.44, 1.14, 1.84]",[0],"[2021, 2022, 2023, 2024, 2025]","[82771927992, 53990901173, 40760860090, 62858211721, 94613747133]","[3798590932, 2553660537, -8467702995, 4118204096, 15360214876]","[6408622296, 3079949738, -3969110031, 9098572281, 15336170176]","[7.74, 5.7, -9.74, 14.47, 16.21]","[12313864898, 4927223977, -9459858517, 9672692791, 15940735992]","[-19849805976, 80787454619, -91570870037, 18605129610, 1291717379]","[-1592049247, -1814422339, -5670179243, -1016015555, -1612119068]","[-7535941078, 85714678596, -101030728554, 28277822401, 17232453371]","[10.0, 13.54, 5.42, 7.85, 9.83]","[443.44, 602.93, 1218.7, 636.55, 529.05]","[91.69, 74.11, -104.78, 56.38, 294.65]","[2862.46, 3705.28, 3561.91, 3673.31, 3913.46]","[13.79, -34.77, -24.5, 54.21, 50.52]","[10.38, 6.78, 5.73, 5.63, 4.76]","[3.62, 2.57, 3.19, 3.57, 3.74]",C26,"C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비",6.65,7.75,7.25,10.69,32.03,12.5,10.0
219130,타이거일렉,KOSDAQ,390854551000,36.56,3801905405.0,0.0,8.22,16.22,5.93,6,2026-08-14,[0],"[-3.59, 0.36, 5.84, 8.22]","[-4.84, 0.52, 9.05, 16.22]","[2.39, 1.52, 2.41, 5.93]","[293.5, 26.59, 36.56]","[2021, 2022, 2023, 2024, 2025]","[0, 0, 0, 0, 0]","[2303794729, 3114183364, -3076374667, -1917120511, 7219453124]","[3871600584, 4390892936, -2960075225, 462325165, 6483718871]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-345149998, 7128240172, 80302778, 192126270, 526684643]","[-4096109998, -2049345450, -2436500948, -2083331177, -1301873704]","[-73320000, -2070860000, -87300000, 2871850000, 4620118000]","[-4441259996, 5078894722, -2356198170, -1891204907, -775189061]","[37.96, 31.06, 34.75, 45.6, 54.93]","[107.81, 147.67, 83.04, 75.39, 112.61]","[12.92, 10.21, -9.22, -5.04, 13.91]","[1531.67, 1656.19, 1572.48, 1577.52, 1744.33]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.72, 4.57, 3.92, 4.04, 3.27]",C262,"C261,2 반도체 및 전자부품",6.7,8.89,37.92,,137.48,,10.0
